"Task Name","Status"
"01-00 Terminal and Finder","to do"
"01-01 Basic File Manipulation","to do"
"01-02 Hidden Files","to do"
"01-03 Searching in Files","to do"
"01-04 Paging Files","to do"
"Apply for interesting jobs","did not complete"
"Chest and Back","complete"
"Complete Ch 1-2 exercises","to do"
"Complete Ch 3 exercises","to do"
"Daily Review","complete"
"Daily Stretches","complete"
"Dev - Build Website Banners: Website Banner Tasks_CONT_0157: SORR 2026","completed"
"Dev: US New SORR LP launch_CONT_0157 SORR 2026","completed"
"Development: CAN New SORR LP launch_CONT_0157 SORR 2026","assigned"
"Development: US New SORR LP launch_CONT_0157 SORR 2026","assigned"
"Evening brush","complete"
"Evening tongue scrape","complete"
"Floss","complete"
"Full Shower","complete"
"Launch Website Banner: Website Banner Tasks_CONT_0157: SORR 2026","completed"
"Light Shower","last minute switched"
"Live QA: CAN New SORR LP launch_CONT_0157 SORR 2026","in progress"
"Live QA: US New SORR LP launch_CONT_0157 SORR 2026","in progress"
"Major Triads on top strings (G-B-E)","complete"
"Marketing Cloud Migration - Status Updates","did not attend"
"Memorize major triads on top strings (G-B-E)","complete"
"Minoxidil","did not complete"
"Minoxidil","complete"
"Morning brush","complete"
"Morning tongue scrape","complete"
"Nick / Reema: Weekly Connect","attended"
"Protein Shake","complete"
"Push LP Live: US New SORR LP launch_CONT_0157 SORR 2026","completed"
"QA Website Pop-up (on live): Website Pop-up Tasks_CONT_0157: SORR 2026","in review"
"Review major triads on middle strings (D-G-B)","complete"
"Run dishwasher","complete"
"Tag Remover Cream","complete"
"Take out garbage","complete"
"Vitamin D3 supplement","complete"
"Water plants","complete"
"Week 1: Distributions & Variation","to do"
"Wipe down coffee table and kitchen island","complete"
"Writing","did not complete"
